ID	Formula	MW_x	Purity	PO	MW_salt	Box_ID	Well	Barcode	Amount_mg	Smile	compound_name	Salt_Name	Salt_ratio	canonical_smiles	isomeric_smiles	monoisotopic_mass	Source Plate Barcode	Source Well	well_location	Transfer Volume	Unit [nL]	plate_id	Source Plate Type	Source Plate Name	Destination Plate Name	Stock concentration	Unit[mM]	VESSELPOSITION	Solvent	MW_y	Transfer	unique_sample_id	WellNumber	WellLetter	Cxsmiles	smiles	Catalog ID	PLATE_ID	V, µL	Conc, mM	Salt smiles	Salt_name	Stereochem.data	Geometric.isomer	MW_x.1	SAMPLEIDDISPLAY	Structure [idcode]	Molecule Name	ORDERING NUMBER	MOLPORTID	SUPPLIER NAME	CATALOG NUMBER	MOL WEIGHT TOTAL	MOL WEIGHT PARRENT	MOL WEIGHT NORMAL	MOL FORMULA	QUANTITY	QUANTITY MEASURE	STEREOCHEMISTRY	PURITY CLASSIFIED	PO NUMBER FROM CLIENT	BOX_NAME	BOX_ROW	BOX_COLUMN	VIAL_BARCODE	AMOUNT_IN_VIAL	AMOUNT_IN_VIAL_MEASURE	QUALITY CONTROL	COMPOUND STATE	PARRENT RATIO	MOL WEIGHT SALT	SALT RATIO	SALT DATA	MW	SMILES	VOLUME_IN_VIAL	VOLUME_UNIT	CONCENTRATION, mM	NOTES	IUPAC	Barcode rack	Barcode vial	Position	m(mg)	c mM	V(DMSO)	Unnamed: 28
	C6H8N2O3	156.1393	100.0	92.7/22	0.0		K13				1-methyl-6-oxo-1,4,5,6-tetrahydropyridazine-3-carboxylic acid						1560045-Y5.25-A02	K13	N13	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	325.0	DMSO	156.053492		pluskal_enammol_5002_N13_id	13	N	CN1N=C(CCC1=O)C(=O)O	CN1N=C(CCC1=O)C(=O)O	Z137399464	1560045-Y5.25-A02	5,25	100.0			Achiral	None	156.053492	Z137399464																																									
	C8H6F2O2	172.1288	99.2	92.7/22	0.0		T24				2-(2,3-difluorophenyl)acetic acid						1560045-Y5.25-A02	T24	N13	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	325.0	DMSO	172.033586		pluskal_enammol_5002_N13_id	13	N	OC(=O)CC=1C=CC=C(F)C1F	OC(=O)CC=1C=CC=C(F)C1F	Z445167096	1560045-Y5.25-A02	5,25	100.0			Achiral	None	172.033586	Z445167096																																									
	C9H10FNO2	183.1796	95.0	92.7/22	0.0		J26				3-amino-3-(2-fluorophenyl)propanoic acid						1560045-Y5.25-A02	J26	N13	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	325.0	DMSO	183.069557		pluskal_enammol_5002_N13_id	13	N	NC(CC(=O)O)C=1C=CC=CC1F	NC(CC(=O)O)C=1C=CC=CC1F	Z56775546	1560045-Y5.25-A02	5,25	100.0			Racemic or presumed racemic or meso	None	183.069557	Z56775546																																									
	C6H5F3N2O2	194.1113	100.0	92.7/22	0.0		S27				1-methyl-5-(trifluoromethyl)-1H-pyrazole-4-carboxylic acid						1560045-Y5.25-A02	S27	N13	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	325.0	DMSO	194.030312		pluskal_enammol_5002_N13_id	13	N	CN1N=CC(C(=O)O)=C1C(F)(F)F	CN1N=CC(C(=O)O)=C1C(F)(F)F	Z359317812	1560045-Y5.25-A02	5,25	100.0			Achiral	None	194.030312	Z359317812																																									
	C15H23NO3	265.348	92.32	92.7/22	0.0		AA34				6-[(4-methylcyclohexyl)carbamoyl]cyclohex-3-ene-1-carboxylic acid						1560045-Y5.25-A02	AA34	N13	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	325.0	DMSO	265.167794		pluskal_enammol_5002_N13_id	13	N	CC1CCC(CC1)NC(=O)C2CC=CCC2C(=O)O	CC1CCC(CC1)NC(=O)C2CC=CCC2C(=O)O	Z90313915	1560045-Y5.25-A02	5,25	100.0			Diastereomeric mixture	None	265.167794	Z90313915																																									
	C11H11NO3	205.2099	100.0	92.7/22	0.0		U41				1-(phenylcarbamoyl)cyclopropane-1-carboxylic acid						1560045-Y5.25-A02	U41	N13	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	325.0	DMSO	205.073893		pluskal_enammol_5002_N13_id	13	N	OC(=O)C1(CC1)C(=O)NC=2C=CC=CC2	OC(=O)C1(CC1)C(=O)NC=2C=CC=CC2	Z951182552	1560045-Y5.25-A02	5,25	100.0			Achiral	None	205.073893	Z951182552																																									
	C11H13N3O2	219.2398	95.04	92.7/22	0.0		AB42				3-{5,7-dimethylpyrazolo[1,5-a]pyrimidin-6-yl}propanoic acid						1560045-Y5.25-A02	AB42	N13	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	325.0	DMSO	219.100777		pluskal_enammol_5002_N13_id	13	N	CC1=NC2=CC=NN2C(C)=C1CCC(=O)O	CC1=NC2=CC=NN2C(C)=C1CCC(=O)O	Z540242696	1560045-Y5.25-A02	5,25	100.0			Achiral	None	219.100777	Z540242696																																									
	C11H8ClNO3	237.6391	100.0	92.7/22	0.0		F14				3-(3-chlorophenyl)-5-methyl-1,2-oxazole-4-carboxylic acid						1560045-Y5.25-A02	F14	N14	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	326.0	DMSO	237.019271		pluskal_enammol_5002_N14_id	14	N	CC=1ON=C(C1C(=O)O)C=2C=CC=C(Cl)C2	CC=1ON=C(C1C(=O)O)C=2C=CC=C(Cl)C2	Z1201049381	1560045-Y5.25-A02	5,25	100.0			Achiral	None	237.019271	Z1201049381																																									
	C6H9ClN2O3	192.6003	95.0	92.7/22	36.4609		K22				2-hydroxy-2-(1-methyl-1H-pyrazol-4-yl)acetic acid hydrochloride		1.0				1560045-Y5.25-A02	K22	N14	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	326.0	DMSO	156.053492		pluskal_enammol_5002_N14_id	14	N	Cl.CN1C=C(C=N1)C(O)C(=O)O	Cl.CN1C=C(C=N1)C(O)C(=O)O	Z2379747589	1560045-Y5.25-A02	5,25	100.0	Cl	Hydrochloric Acid	Racemic or presumed racemic or meso	None	156.053492	Z2379747589																																									
	C8H12O4	172.1785	95.0	92.7/22	0.0		L25				rac-(1R,3aS,7aS)-hexahydro-1H-furo[3,4-c]pyran-1-carboxylic acid						1560045-Y5.25-A02	L25	N14	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	326.0	DMSO	172.073559		pluskal_enammol_5002_N14_id	14	N	OC(=O)[C@@H]1OC[C@@H]2COCC[C@H]12 |&1:3,6,11,r|	OC(=O)[C@@H]1OC[C@@H]2COCC[C@H]12	Z2937461137	1560045-Y5.25-A02	5,25	100.0			Racemic diastereomer with known relative stereochemistry	None	172.073559	Z2937461137																																									
